number,class,clearance_level,description,image_url,,,,,,,
805,Euclid,2," SCP-805 is an assortment of branches and roots twisted into the shape of a young horse, 101.6 cm high. Its interior is completely hollow of any organs; however, the object is mobile, mimicking the movements and instincts of a typical young foal. It is drawn toward human presences, actively seeking contact with skin, and has been reported as being 'very friendly' when approached. It does not require food or water and there has been no growth recorded since containment in 20¦¦. Scrapings of wood from its frame have revealed it to be of an unknown species related to the 'poison-oak' plant,  Toxicodendron diversilobum .",,,,,,,,
806,Safe,1," SCP-806 is a large, modified film projector, originally built circa 1900. The item’s lens has been replaced with one constructed of several dozen thin layers of shaved precious stones and as of yet unidentified materials. The original projection bulb has been replaced by an LED array. Originally built for 35mm film, most inner mechanisms have been retrofitted with similar components of various complex alloys. These modifications also allow for most film sizes to be played. Additional mechanisms have been installed, allowing for multiple spools of film to be played through the item without interruption.",http://scp-wiki.wdfiles.com/local--files/scp-806/806%20projector,,,,,,,
807,Euclid,2," SCP-807 is a salmon-colored ceramic dinner plate 20 cm in diameter with the words ""Last Chance Diner"" printed on the edges in white. A small piece has been chipped out of one edge of the plate, just above the letter D. There are no manufacturer's marks, and to date, all efforts to find the restaurant in question have failed.",,,,,,,,
808,Euclid,2," SCP-808 is a mechanical construct standing approximately sixteen (16) meters tall, with a base approximately five by six meters (30 m 2 ) in area. The object is roughly cylindrical in shape, the upper three meters tapering to a point.",http://scp-wiki.wdfiles.com/local--files/scp-808/808%20innards%20added,,,,,,,
809,Safe,1," SCP-809 is a heavily stained and worn pair of leather boots, designated SCP-809-1 and SCP-809-2 for the left and right boot respectively. Forensic analysis of the boots confirms that the stains are composed of clay-rich soil and human blood. The design of SCP-809 is consistent with those of the boots worn by French infantry in the last years of World War One.",,,,,,,,
810,Euclid,2," Object appears to be a standard oil lamp dating back some 1-2 thousand years. No biological material has been observed on the SCP, and the circumstances of its recovery make exact dating impractical. When touched by a human, an inscription appears in Aramaic. It reads, roughly 'Ask what you will, and you shall never want for it.' If the SCP is firmly grasped by a human for at least thirty seconds, the inscription will change to the holder's native language. This change is physical, and has been recorded.",,,,,,,,
811,Euclid,2," SCP-811 is shaped similarly to a human female with disproportionally long and thin limbs and a slightly-bloated abdominal region. It is 171 cm tall, and weighs just under 47 kg due to its strange physiology (see Addendum 811-2 for details). Its skin has slight abrasive properties, and is a mottled green color that serves to camouflage it among the reeds in its natural habitat. Its sweat has been observed to act as a mild skin irritant. It has extremely oily black hair that has proven to be resistant to cleaning with conventional shampoos (See Addendum 811-1). It shows partial comprehension of human language, consistent with case studies of ""feral children"" that had been abandoned at a few years old, instead of as infants.",,,,,,,,
812,Euclid,2," SCP-812 is a nondescript cargo container of corrugated steel measuring 12m x 2.5m x 2.5m. There is a sliding door measuring 2m x 2m set in one of the long sides, and a set of double doors is built into one of the square ends. The object is painted dull red and partially covered with spray-paint graffiti. Official markings include the number 247 and the word ""ANTHERCORP,"" which identifies no commercial entity. The object weighs approximately 4000 kg when empty and can hold up to 26,500 kg.",,,,,,,,
813,Keter,3," SCP-813 is a spherical glass sculpture. Evidence suggests that the sculpture was originally 45cm in diameter; however, the artifact is currently missing approximately 17% of its initial mass. Close inspection of SCP-813 has revealed a microscopic system of seemingly metallic clockwork machinery. This machinery is continuously active, though the means by which it accumulates or generates power is unclear. The properties of the artifact (see below) have prevented more extensive inspection of the machinery, and spectroscopic analysis has proven inconclusive.",,,,,,,,
814,Euclid,2," SCP-814-1 is an ornate mahogany enclosure housing an antique wax-cylinder type phonograph (c. 1900 CE) of unique design. The internal mechanism, which is completely functional, is capable of holding up to four music cylinders; notably, it is capable of the replay of multiple cylinders simultaneously. The manufacturer's mark ""SYNCOPE"" is etched on several of the phonograph's components.",https://scp-wiki.wdfiles.com/local--files/scp-814/phonograph-new.jpg,,,,,,,
815,,NA," SCP-815 is a novelty “snake nut can,” a common prank device that consists of a small canister labeled “Salted Mixed Nuts,” while in actuality it contains four cloth-covered springs (meant to represent ""snakes"") that fly out upon opening. X-ray and multi-spectral imaging have as yet determined no measurable unusual qualities of the can or ""snakes"".",,,,,,,,
816,Euclid,2," SCP-816 is the name given to the collection of small automata residing in the basement of the house at ¦¦ ¦¦¦¦¦¦¦¦¦ Street, ¦¦¦¦¦¦¦¦¦, Switzerland. Journals found in the basement indicate that ¦¦¦¦¦¦¦ ¦¦¦¦¦¦¦¦, a local teacher, originally created SCP-816 in 189¦. Inspired by the works of Charles Darwin and Charles Babbage, he designed and built automata capable of reproducing and evolving. The mechanics of reproduction are facilitated by a collection of parts common to all species; however, most species modify the base parts to create specialized parts to fit their ecological niche.",,,,,,,,
817,Euclid,2," SCP-817 is a humanoid of indeterminate gender and variable physical features, although genetic testing suggests it was once ¦¦¦¦¦¦¦¦¦ ¦¦¦¦¦, a young Asian male. SCP-817 periodically undergoes radical metamorphic changes to its physiology. The delay between metamorphic events varies but is usually about two (2) to three (3) months. These shifts and the physiological abnormalities produced cause SCP-817 enormous pain, however it seems to suffer no actual damage to its body systems. Additionally, SCP-817 seems to be incapable of deliberately injuring itself.",,,,,,,,
818,Neutralized (Previously Keter),2," SCP-818 is a young male, appearing to be approximately seven to twelve years of age. Additionally, SCP-818 displays all the signs of behaviour consistent with low-functioning nonverbal autism. The examinations of on-site behaviorists and recovered medical records show that this condition has been present for SCP-818's entire life. SCP-818's physical features have a tendency to shift when active; however, during a resting state, it has been noted as having black hair and dark skin. SCP-818 cannot speak and possesses no known direct ability to communicate. SCP-818 has shown no need for nutrition or waste removal, but it has been recorded breathing and, presumably, sleeping. SCP-818 does not appear to age, and has been known to shift between heights (ranging from 1.17 to 1.84 meters) and weights (65 to 80 kilograms), making any determination impossible. This, coupled with the incomplete state of the recovered medical records, leaves much of SCP-818's history blank.",,,,,,,,
819,Safe,1," SCP-819 was discovered in a pediatric office in ¦¦¦¦¦¦¦, ¦¦¦¦¦¦¦, after several reports of children being rushed back with symptoms including vision loss, severe nasal pain, and idiopathic unconsciousness. Agents dispatched found that the lollipops offered to the children were causing different bodily fluids to disappear. The candy in question was confiscated, and the office staff, affected patients and their guardians were treated and administered Class-A amnestics.",,,,,,,,
